subjective	3144	0	4	Love	3144-subjective0	positive	related
aspect	3144	52	58	manual	ID1	unknown	related
subjective	3144	68	92	little bit to be desired	3144-subjective4	negative	related
subjective	3144	118	127	wonderful	3144-subjective5	positive	related
aspect	3144	128	145	little dishwasher	3144-aspect6	unknown	related
aspect	3144	281	287	Amazon	3144-aspect7	unknown	related
aspect	3144	322	332	dishwasher	3144-aspect8	unknown	related
aspect	3144	354	365	user manual	3144-aspect9	unknown	related
subjective	3144	428	439	better than	ID2	positive	related
aspect	3144	422	427	works	3144-aspect12	unknown	related
subjective	3144	468	472	love	3144-subjective13	positive	related
aspect	3144	473	475	it	3144-aspect14	unknown	related
subjective	1156	0	8	Powerful	1156-subjective0	positive	related
subjective	1156	22	32	Sure beats	1156-subjective2	positive	related
aspect	1156	53	81	old white Wal-Mart microwave	1156-aspect3	unknown	foreign
subjective	1156	186	193	quicker	1156-subjective4	positive	related
aspect	1156	194	203	meal prep	1156-aspect5	unknown	related
subjective	1156	212	226	top it all off	1156-subjective6	positive	related
subjective	1156	237	242	great	1156-subjective7	positive	related
aspect	1156	231	236	looks	1156-aspect8	unknown	related
subjective	1156	245	255	Very happy	1156-subjective9	positive	related
aspect	1156	266	274	purchase	1156-aspect10	unknown	related
subjective	1351	0	9	Fantastic	1351-subjective0	positive	related
subjective	1351	67	76	great job	1351-subjective1	positive	related
aspect	1351	81	88	clothes	1351-aspect2	unknown	related
subjective	1351	104	114	very clean	1351-subjective3	positive	related
aspect	1351	161	164	air	1351-aspect4	unknown	related
aspect	1351	180	184	vent	1351-aspect5	unknown	related
aspect	1351	198	205	suction	1351-aspect6	unknown	related
aspect	1351	230	235	water	1351-aspect7	unknown	related
aspect	1351	248	261	dirty clothes	1351-aspect8	unknown	related
aspect	1351	293	305	2 - 4 inches	1351-aspect9	unknown	related
aspect	1351	309	314	water	1351-aspect10	unknown	related
aspect	1351	329	335	bucket	1351-aspect11	unknown	related
aspect	1351	393	397	wash	1351-aspect12	unknown	related
subjective	1351	368	389	Only a couple minutes	1351-subjective13	positive	related
aspect	1351	420	425	rinse	1351-aspect14	unknown	related
subjective	1351	439	443	nice	1351-subjective15	positive	related
subjective	1351	448	453	clean	1351-subjective16	positive	related
subjective	1351	469	502	significantly less detergent than	1351-subjective17	positive	related
aspect	1351	488	497	detergent	1351-aspect18	unknown	related
aspect	1351	520	526	washer	1351-aspect19	unknown	foreign
aspect	1351	575	580	water	1351-aspect20	unknown	related
aspect	1351	593	600	clothes	1351-aspect21	unknown	related
subjective	1351	612	623	Very sturdy	1351-subjective22	positive	related
subjective	1351	626	657	expect to use it for many years	1351-subjective23	positive	related
